iter	Logloss	Precision:use_weights=true	Precision:use_weights=false
260	0.4972092222	0.766455755	0.4690073536
261	0.497185141	0.7664937779	0.4690602571
262	0.4971623595	0.766483458	0.4690458978
263	0.497131701	0.7665816984	0.4691826118
264	0.4971087188	0.7666173681	0.4692322616
265	0.4970723512	0.7666724341	0.4693089216
266	0.4970378425	0.7665943684	0.4692002469
267	0.4970102014	0.7666269207	0.4692455593
268	0.4969800005	0.7666732117	0.4693100042
269	0.4969432912	0.7666747668	0.4693121693
270	0.4969118348	0.7667616287	0.4694331234
271	0.4968863779	0.7666938866	0.4693387905
272	0.4968599859	0.7666494308	0.4692768959
273	0.4968399787	0.7666755442	0.4693132517
274	0.4968076668	0.7666434858	0.4692686196
275	0.4967877406	0.7666985474	0.4693452801
276	0.4967490781	0.7667052692	0.4693546396
277	0.4967282964	0.7667409423	0.4694043146
278	0.4967048258	0.7667797135	0.4694583105
279	0.4966722785	0.7668852076	0.4696052655
280	0.4966472792	0.7669120745	0.4696426996
281	0.4966192936	0.7668823401	0.4696012703
282	0.4965942399	0.7669195587	0.4696531282
283	0.4965707872	0.7668763935	0.4695929853
284	0.4965411349	0.7668986418	0.4696239832
285	0.4965049109	0.7669575425	0.4697060588
286	0.4964787077	0.7669239689	0.4696592734
287	0.4964437653	0.7669456493	0.4696894848
288	0.4964202567	0.7670580457	0.469846143
289	0.4964006344	0.7669903407	0.4697517687
290	0.4963709988	0.7669882237	0.4697488182
291	0.4963314666	0.7670537869	0.469840206
292	0.4963108074	0.7671578926	0.4699853587
293	0.4962780158	0.7671258868	0.4699407282
294	0.4962552487	0.7671801567	0.4700164076
295	0.4962192587	0.7672203768	0.4700725034
296	0.4961922297	0.7672583165	0.4701254256
297	0.4961600331	0.7672880431	0.470166896
298	0.4961236295	0.7673296643	0.4702249669
299	0.4960989064	0.7672984261	0.4701813819
